id,עיר,שכונה,מספר חדרים,"מחיר (ש""ח)",מרפסת,"ממ""ד",מחסן,מעלית,גישה לנכים,מזגן,בית פרטי,מותר לבעלי חיים,חניה,נוף לים,משופצת,סורגים,קומה,"גודל (מ""ר)",קישור לתמונה
1,תל אביב,פלורנטין,3,2000,1,0,1,1,0,1,0,1,1,0,1,1,1,165,https://img.yad2.co.il/Pic/202402/13/2_1/o/y2_1_01880_20240213212559.jpeg?w=1080&h=1080&c=9
2,תל אביב,פלורנטין,2,1500,0,0,1,0,1,1,0,1,0,1,0,1,3,125,https://img.yad2.co.il/Pic/202403/18/2_5/o/y2_1_995419_20240318.jpg?w=1200&h=1200&c=9
3,ירושלים,רחביה,4,2500,1,0,0,1,1,1,0,1,1,0,1,0,4,265,https://img.yad2.co.il/Pic/202403/14/2_1/o/y2_1_05389_20240314112441.jpeg?w=1080&h=1080&c=9
4,חיפה,דניה,3,1800,1,1,1,1,1,1,0,0,1,1,1,1,5,185,https://img.yad2.co.il/Pic/202403/02/2_1/o/y2_3_03727_20240302234244.jpeg
5,תל אביב,פלורנטין,5,3000,1,0,1,1,0,1,1,1,1,0,0,1,0,225,https://img.yad2.co.il/Pic/202402/26/2_5/o/y2_1pa_010610_20240226094219.jpeg?w=1080&h=1080&c=9
6,ירושלים,רחביה,4,2800,0,0,1,1,1,1,0,0,1,0,0,1,1,260,https://img.yad2.co.il/Pic/202402/17/2_1/o/y2_1pa_010362_20240217184722.jpeg?w=640&h=640&c=9
7,חיפה,דניה,3,1600,0,0,1,0,1,1,1,1,1,1,1,0,0,165,https://img.yad2.co.il/Pic/202403/28/2_1/o/y2_1_07240_20240328161128.jpeg?w=1080&h=1080&c=9
8,תל אביב,פלורנטין,2,1400,1,0,0,0,1,1,0,0,0,0,1,1,1,95,https://yeshnadlan.co.il/wp-content/uploads/2020/10/1-1.jpg
9,ירושלים,רחביה,3,2200,0,0,1,1,1,1,0,1,1,1,1,1,1,125,https://img.yad2.co.il/Pic/202402/22/2_5/o/y2_1pa_010063_20240222140829.jpeg?w=1080&h=1080&c=9
10,חיפה,דניה,4,2000,1,0,1,1,0,1,1,0,1,0,0,1,0,165,https://img.yad2.co.il/Pic/202403/07/2_1/o/y2_1pa_010727_20240307195953.jpeg?w=1080&h=1080&c=9
11,תל אביב,פלורנטין,2,1300,0,0,0,0,1,0,0,0,0,0,1,0,5,72,https://img.yad2.co.il/Pic/202403/19/2_1/o/y2_3_02129_20240319120441.jpeg
12,ירושלים,רחביה,3,1800,1,0,1,0,0,1,1,1,1,0,1,1,0,95,https://img.yad2.co.il/Pic/202402/04/2_1/o/y2_1pa_010550_20240204211852.jpeg?w=1080&h=1080&c=9
13,חיפה,דניה,5,2800,1,1,1,1,1,1,0,1,1,1,1,1,5,220,https://img.yad2.co.il/Pic/202403/27/2_1/o/y2_1pa_010088_20240327184916.jpeg?w=1080&h=1080&c=9
14,תל אביב,פלורנטין,4,3200,1,0,1,1,1,1,0,1,1,0,1,1,3,180,https://img.yad2.co.il/Pic/202402/08/2_1/o/y2_1_07930_20240208194321.jpeg?w=640&h=640&c=9
15,ירושלים,רחביה,3,3500,1,0,0,0,1,1,0,0,0,1,0,1,4,160,https://img.yad2.co.il/Pic/202403/05/2_5/o/y2_2_dOm5ZVQHmd_20240305.jpg?w=1080&h=1080&c=9
16,חיפה,דניה,2,1200,0,0,0,0,0,1,0,1,0,0,0,0,3,80,https://img.yad2.co.il/Pic/202312/05/2_5/o/y2_1pa_010251_20231205125650.jpeg?w=640&h=640&c=9
17,תל אביב,פלורנטין,3,2200,0,1,1,1,1,1,1,1,1,0,1,1,0,125,https://img.yad2.co.il/Pic/202401/29/2_1/o/y2_1pa_010902_20240129114920.jpeg?w=1080&h=1080&c=9
18,ירושלים,רחביה,4,2400,1,0,1,0,0,1,0,1,1,1,0,0,4,165,https://img.yad2.co.il/Pic/202403/21/2_6/o/y2_1pa_010373_20240321111124.jpeg?w=1080&h=1080&c=9
19,חיפה,דניה,3,1800,0,0,0,0,1,1,0,0,1,0,0,0,1,90,https://img.yad2.co.il/Pic/202401/08/2_6/o/y2_1pa_010626_20240108122341.jpeg?w=1080&h=1080&c=9
